32,10896,hmoe.one,homeoneaus,https://www.facebook.com/homeoneaus/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=642969652561205,0,2704,2013
34,11171,lazyoaf.com,lazyoaf,https://www.facebook.com/lazyoaf/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=8479891451,81,1021431,159202
35,12849,boat-lifestyle.com,boat.nirvana,https://www.facebook.com/boat.nirvana/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=786827864757998,83,542435,1183923
37,13275,deodap.com,deodap,https://www.facebook.com/deodap/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=617855068341755,2,2862,14130
38,13872,proozy.com,shopproozy,https://www.facebook.com/shopproozy/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=363910963769495,38,7971,17942
39,14067,peakdesign.com,peakdesignltd,https://www.facebook.com/peakdesignltd,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=139503232777324,8,256791,156699
40,14077,heysilkyskin.com,HeySilkySkin,https://www.facebook.com/HeySilkySkin/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=2027762650579879,860,368385,42723
41,14384,hanon-shop.com,Hanonshop,https://www.facebook.com/Hanonshop,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=132537553466310,58,210227,63004
42,14505,vicicollection.com,vicidolls,https://www.facebook.com/vicidolls/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=251489244947538,90,1638354,125097
43,14585,xouxou.com,xouxouberlin,https://www.facebook.com/xouxouberlin/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=131636500721500,160,146037,17500
44,14724,analuisa.com,analuisanewyork,https://www.facebook.com/analuisanewyork/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=1947797465248414,680,503403,36444
45,14942,zox.la,ZoxStraps,https://www.facebook.com/ZoxStraps,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=152327404827768,210,316083,379735
46,14966,vuoriclothing.com,vuoriclothing,https://www.facebook.com/vuoriclothing,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=126525880500,210,324816,83523
47,15287,skinnydiplondon.com,skinnydiplondon,https://www.facebook.com/skinnydiplondon/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=172743909405016,81,671099,107192
48,15453,reddress.com,TheRedDressBoutique,https://www.facebook.com/TheRedDressBoutique/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=26549110891,0,693311,1411731
49,15515,polene-paris.com,poleneparis,https://www.facebook.com/poleneparis/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=1844332612465362,230,648340,83113
50,15517,szblockprints.com,szblockprints,https://www.facebook.com/szblockprints/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=None,230,,
51,15719,dtlr.com,DTLRVILLA,https://www.facebook.com/DTLRVILLA/,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=ALL&view_all_page_id=122391866814,3,260208,145593
